City_ID,City,Country,Max Temp,Current Weather,Lat,Lng,Hotel Name
495,Cuiaba,BR,82.33,few clouds,-15.5961,-56.0967,Getúllio Hotel
497,Mantua,IT,80.1,clear sky,45.1667,10.7833,Hotel la Favorita
498,Kavaratti,IN,83.8,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
499,Eyl,SO,80.83,scattered clouds,7.9803,49.8164,Amiin Hotel
503,Makat,KZ,86.05,overcast clouds,47.6469,53.3463,Umit
513,La Orilla,MX,86.59,overcast clouds,17.9833,-102.2333,Baymont by Wyndham Lazaro Cardenas
519,Agua Prieta,MX,81.34,broken clouds,31.3,-109.5667,Hotel Real de Agua Prieta
521,The Valley,AI,85.86,scattered clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
523,Gibara,CU,85.32,few clouds,21.1097,-76.1317,Sol y Mar
539,Le Vauclin,MQ,87.85,scattered clouds,14.5452,-60.8388,Hôtel Cap Macabou
540,Kralendijk,BQ,87.78,scattered clouds,12.15,-68.2667,Divi Flamingo Beach Resort & Casino
545,Epe,NG,85.37,light rain,6.5841,3.9834,MAGVILLE HOTEL
550,Oriximina,BR,82.26,broken clouds,-1.7656,-55.8661,Pousada Tia Amélia
554,Muisne,EC,82.51,overcast clouds,0.6,-80.0333,Quinta Samay
558,Salinopolis,BR,85.73,scattered clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
570,Tirumullaivasal,IN,85.62,overcast clouds,11.2333,79.8333,
585,Itamaraju,BR,88.45,few clouds,-17.0392,-39.5311,Hotel Vista Bela
592,Marilia,BR,80.26,clear sky,-22.2139,-49.9458,Hotel Tenda
602,Cabinda,AO,84.34,scattered clouds,-5.55,12.2,Hotel Maiombe
603,Nanhai,CN,80.76,light rain,30.1282,111.7784,Jingnan Hotel
606,Guarumal,PA,88.93,few clouds,8.35,-82.5333,Grama la martina
616,Madras,IN,87.96,scattered clouds,13.0878,80.2785,City home
622,Tangi,PK,89.6,clear sky,34.3006,71.6536,White light hair dresser tangi sudiar khan
624,Pitimbu,BR,82.99,broken clouds,-7.4706,-34.8086,Reserva do Abiaí
638,Algiers,DZ,84.02,few clouds,36.7525,3.042,Sofitel Algiers Hamma Garden
640,Puerto Escondido,MX,81.43,broken clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
641,Bosaso,SO,88.59,scattered clouds,11.2842,49.1816,Red Sea Hotel
649,Chimore,BO,82.33,broken clouds,-16.9833,-65.1333,Bichito
654,Bairiki,KI,82.4,light rain,1.3292,172.9752,Tarawa Boutique Hotel
664,Manadhoo,MV,83.39,overcast clouds,5.7667,73.3833,Vevu Guesthouse
675,Tambura,SS,82.09,overcast clouds,5.6,27.4667,Rikito Lodge
677,Wamba,NG,86.92,light rain,8.9333,8.6,Roma Zee Guest House Annex
688,Sendhwa,IN,86.32,scattered clouds,21.6833,75.1,Hotel Shagun Garden
700,Jalingo,NG,87.42,overcast clouds,8.8833,11.3667,Debright Motel
703,Contamana,PE,87.57,overcast clouds,-7.3333,-75.0167,Shiringal Touristic Park
