,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Current Weather
60,Spas-Demensk,54.4122,34.0226,57.29,54,29,8.25,RU,2021-06-01 15:36:42,scattered clouds
61,Xai-Xai,-25.0519,33.6442,72.77,73,99,11.56,MZ,2021-06-01 15:36:43,overcast clouds
62,Khatanga,71.9667,102.5,34.75,86,100,13.76,RU,2021-06-01 15:36:43,overcast clouds
63,Ribeira Grande,38.5167,-28.7,63.0,59,75,14.97,PT,2021-06-01 15:36:43,broken clouds
64,Iqaluit,63.7506,-68.5145,31.73,100,90,4.0,CA,2021-06-01 15:28:23,snow
65,Pangnirtung,66.1451,-65.7125,39.2,65,90,12.66,CA,2021-06-01 15:36:43,overcast clouds
66,Nikolskoye,59.7035,30.7861,64.29,54,98,5.46,RU,2021-06-01 15:36:44,overcast clouds
67,Nanakuli,21.3906,-158.1547,76.71,85,1,5.95,US,2021-06-01 15:36:44,clear sky
68,Belmonte,-15.8631,-38.8828,82.9,64,80,6.82,BR,2021-06-01 15:36:44,broken clouds
69,Tulagi,-9.0996,160.1476,81.34,81,86,14.99,SB,2021-06-01 15:36:45,overcast clouds
70,Austin,30.2672,-97.7431,75.83,91,90,1.01,US,2021-06-01 15:34:25,overcast clouds
71,Avarua,-21.2078,-159.775,66.25,94,20,1.14,CK,2021-06-01 15:36:45,few clouds
72,Nouadhibou,20.931,-17.0347,65.59,88,10,26.49,MR,2021-06-01 15:28:31,clear sky
73,Dok Kham Tai,19.1624,99.9934,80.62,69,97,3.22,TH,2021-06-01 15:36:46,overcast clouds
74,Lorengau,-2.0226,147.2712,78.58,85,100,2.51,PG,2021-06-01 15:36:46,overcast clouds
75,Trebinje,42.7119,18.3442,68.34,52,20,4.9,BA,2021-06-01 15:36:46,few clouds
76,Adamas,36.7333,24.4333,71.02,62,0,16.22,GR,2021-06-01 15:36:46,clear sky
77,Raga,8.4596,25.678,74.98,80,97,5.84,SS,2021-06-01 15:36:47,light rain
78,Iberia,29.9502,-91.7507,82.98,74,75,10.83,US,2021-06-01 15:36:47,broken clouds
79,Kurchum,48.5722,83.6542,69.58,53,19,9.66,KZ,2021-06-01 15:36:48,few clouds
80,Mucurapo,10.6667,-61.5333,88.02,55,100,10.04,TT,2021-06-01 15:36:48,overcast clouds
81,Hambantota,6.1241,81.1185,82.74,83,0,17.94,LK,2021-06-01 15:36:49,clear sky
82,Dillon,34.4166,-79.3712,81.25,42,63,5.73,US,2021-06-01 15:36:49,broken clouds
83,Predivinsk,57.0669,93.4378,55.15,66,63,4.43,RU,2021-06-01 15:27:41,broken clouds
84,Gewane,10.1664,40.6453,98.08,15,39,6.73,ET,2021-06-01 15:36:49,scattered clouds
85,Coihaique,-45.5752,-72.0662,47.01,57,75,3.44,CL,2021-06-01 15:36:50,broken clouds
86,Saskylakh,71.9167,114.0833,35.76,81,100,4.68,RU,2021-06-01 15:36:50,overcast clouds
87,Auki,-8.7676,160.7034,77.65,90,100,3.94,SB,2021-06-01 15:36:50,overcast clouds
88,Jhalida,23.3667,85.9667,75.74,50,84,3.24,IN,2021-06-01 15:36:50,broken clouds
89,Comodoro Rivadavia,-45.8667,-67.5,49.86,50,20,14.97,AR,2021-06-01 15:22:23,few clouds
90,Kaitangata,-46.2817,169.8464,46.92,70,91,9.37,NZ,2021-06-01 15:36:51,overcast clouds
91,Namibe,-15.1961,12.1522,79.43,78,40,16.11,AO,2021-06-01 15:31:40,scattered clouds
92,Sao Bartolomeu De Messines,37.2602,-8.2867,68.02,36,26,10.27,PT,2021-06-01 15:36:51,scattered clouds
93,Atuona,-9.8,-139.0333,79.5,76,22,15.05,PF,2021-06-01 15:36:52,few clouds
94,Palencia,42.4167,-4.5,67.6,54,72,4.99,ES,2021-06-01 15:36:52,broken clouds
95,Correntina,-13.3433,-44.6367,91.0,23,37,4.9,BR,2021-06-01 15:36:52,scattered clouds
96,Arraial Do Cabo,-22.9661,-42.0278,76.96,78,20,9.22,BR,2021-06-01 15:36:53,few clouds
97,Duluth,46.7833,-92.1066,74.55,51,20,1.99,US,2021-06-01 15:36:53,few clouds
98,Mahebourg,-20.4081,57.7,70.09,94,75,5.75,MU,2021-06-01 15:36:53,moderate rain
99,Brownwood,31.7093,-98.9912,69.3,65,49,8.7,US,2021-06-01 15:35:24,scattered clouds
100,Saquena,-4.6667,-73.5167,87.82,56,33,1.1,PE,2021-06-01 15:36:54,scattered clouds
101,San Quintin,30.4833,-115.95,62.01,79,25,5.3,MX,2021-06-01 15:28:43,scattered clouds
102,Forio,40.7342,13.8646,75.78,61,7,8.72,IT,2021-06-01 15:36:54,clear sky
103,Bambous Virieux,-20.3428,57.7575,70.05,94,75,11.52,MU,2021-06-01 15:36:54,moderate rain
104,Isangel,-19.55,169.2667,70.3,63,40,9.6,VU,2021-06-01 15:34:08,scattered clouds
105,Geraldton,-28.7667,114.6,55.81,88,0,8.81,AU,2021-06-01 15:36:55,clear sky
106,Longyearbyen,78.2186,15.6401,35.44,93,75,8.05,SJ,2021-06-01 15:36:55,broken clouds
107,Cape Town,-33.9258,18.4232,61.21,71,20,8.21,ZA,2021-06-01 15:34:07,few clouds
108,Bengkulu,-3.8004,102.2655,77.09,90,91,5.37,ID,2021-06-01 15:28:14,overcast clouds
109,Sitka,57.0531,-135.33,49.89,93,90,5.75,US,2021-06-01 15:28:19,overcast clouds
110,Kapaa,22.0752,-159.319,73.38,94,20,5.75,US,2021-06-01 15:36:56,few clouds
111,Nyurba,63.2842,118.3319,53.26,84,91,3.11,RU,2021-06-01 15:30:12,overcast clouds
112,Xining,36.6167,101.7667,53.76,57,100,3.78,CN,2021-06-01 15:27:23,overcast clouds
113,Nome,64.5011,-165.4064,46.47,49,1,9.22,US,2021-06-01 15:30:29,clear sky
114,Lerwick,60.1545,-1.1494,53.6,79,9,12.08,GB,2021-06-01 15:31:07,clear sky
115,Severo-Kurilsk,50.6789,156.125,38.48,96,100,4.81,RU,2021-06-01 15:36:56,light rain
116,Chachapoyas,-6.2317,-77.869,66.25,65,93,1.74,PE,2021-06-01 15:36:56,light rain
117,Codrington,-38.2667,141.9667,54.73,52,100,4.47,AU,2021-06-01 15:27:19,light rain
118,San Rafael Del Sur,11.8485,-86.4384,86.97,44,15,15.35,NI,2021-06-01 15:30:19,few clouds
119,Zhezkazgan,47.8043,67.7144,76.84,47,0,11.97,KZ,2021-06-01 15:30:59,clear sky
120,Skjervoy,70.0311,20.9714,55.4,91,100,5.35,NO,2021-06-01 15:36:57,overcast clouds
121,Mataura,-46.1927,168.8643,49.48,92,97,3.13,NZ,2021-06-01 15:36:57,overcast clouds
122,Aleksandrov Gay,50.147,48.5704,72.48,68,49,17.63,RU,2021-06-01 15:36:58,scattered clouds
123,Rio Gallegos,-51.6226,-69.2181,28.45,86,75,8.05,AR,2021-06-01 15:27:33,broken clouds
124,Sembe,1.6481,14.5806,75.18,95,100,2.98,CG,2021-06-01 15:31:00,light rain
125,Cotonou,6.3654,2.4183,78.78,78,40,8.05,BJ,2021-06-01 15:36:58,scattered clouds
126,Fairbanks,64.8378,-147.7164,55.09,87,90,3.44,US,2021-06-01 15:25:38,light rain
127,Henties Bay,-22.116,14.2845,61.86,64,1,6.49,NA,2021-06-01 15:29:52,clear sky
128,Kalmunai,7.4167,81.8167,82.38,79,57,4.9,LK,2021-06-01 15:36:59,broken clouds
129,Port Elizabeth,-33.918,25.5701,61.09,82,0,18.41,ZA,2021-06-01 15:36:59,clear sky
130,Changde,29.0464,111.6783,78.04,76,80,2.98,CN,2021-06-01 15:37:00,broken clouds
131,Kabelvag,68.2114,14.4817,64.62,51,0,10.36,NO,2021-06-01 15:37:00,clear sky
132,Storrs,41.8084,-72.2495,71.6,61,1,3.44,US,2021-06-01 15:35:57,clear sky
133,Olafsvik,64.8945,-23.7142,45.97,76,81,16.49,IS,2021-06-01 15:37:01,broken clouds
134,Mildura,-34.2,142.15,50.07,66,5,5.75,AU,2021-06-01 15:37:01,clear sky
135,Airai,-8.9266,125.4092,59.14,94,94,2.17,TL,2021-06-01 15:37:01,overcast clouds
