,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Current Weather
260,Coxim,-18.5067,-54.76,88.61,36,98,4.97,BR,2021-06-01 15:37:36,light rain
261,Korla,41.7597,86.1469,77.4,31,96,17.18,CN,2021-06-01 15:37:36,overcast clouds
262,Bonthe,7.5264,-12.505,83.97,67,100,9.6,SL,2021-06-01 15:37:37,overcast clouds
263,Sao Filipe,14.8961,-24.4956,74.53,75,99,9.08,CV,2021-06-01 15:29:32,overcast clouds
264,Hazleton,40.9584,-75.9746,69.03,50,1,0.0,US,2021-06-01 15:37:37,clear sky
265,Faya,18.3851,42.4509,84.31,14,2,15.73,SA,2021-06-01 15:37:37,clear sky
266,Haines Junction,60.7522,-137.5108,55.35,41,96,10.36,CA,2021-06-01 15:28:38,overcast clouds
267,Upata,8.0086,-62.3989,83.34,61,89,5.86,VE,2021-06-01 15:37:38,overcast clouds
268,Yining,29.0361,114.5636,75.9,88,55,1.43,CN,2021-06-01 15:37:38,broken clouds
269,Sena Madureira,-9.0656,-68.6569,89.35,53,89,2.17,BR,2021-06-01 15:37:38,overcast clouds
270,Hope,33.6671,-93.5916,77.29,68,100,8.39,US,2021-06-01 15:33:14,overcast clouds
271,Ngunguru,-35.6167,174.5,46.17,87,19,7.0,NZ,2021-06-01 15:37:39,few clouds
272,Hamilton,39.1834,-84.5333,73.22,65,90,1.99,US,2021-06-01 15:37:39,overcast clouds
273,Sabang,5.8933,95.3214,83.64,73,100,12.84,ID,2021-06-01 15:37:40,overcast clouds
274,Chulman,56.8479,124.9104,49.33,77,98,3.53,RU,2021-06-01 15:37:40,light rain
275,Weihe,32.9952,105.3247,61.07,78,97,0.67,CN,2021-06-01 15:37:40,overcast clouds
276,Norman Wells,65.282,-126.8329,46.44,81,75,14.97,CA,2021-06-01 15:37:41,light rain
277,Suleja,9.1758,7.1808,88.79,52,92,3.98,NG,2021-06-01 15:37:41,overcast clouds
278,Constantine,36.365,6.6147,83.61,34,75,12.66,DZ,2021-06-01 15:37:41,broken clouds
279,Talnakh,69.4865,88.3972,31.66,97,100,4.32,RU,2021-06-01 15:37:41,overcast clouds
280,Tovste,48.8466,25.7262,60.84,54,94,9.62,UA,2021-06-01 15:37:42,overcast clouds
281,Registro,-24.4875,-47.8436,73.0,67,74,2.55,BR,2021-06-01 15:37:42,broken clouds
282,Chino Valley,34.7575,-112.4538,81.82,23,1,3.0,US,2021-06-01 15:35:30,clear sky
283,Asau,46.4333,26.4,54.75,93,100,5.61,RO,2021-06-01 15:31:15,light rain
284,Jumla,29.2747,82.1838,56.98,89,93,3.78,NP,2021-06-01 15:37:43,overcast clouds
285,Montepuez,-13.1256,38.9997,72.16,65,99,3.51,MZ,2021-06-01 15:37:43,overcast clouds
286,Pasareni,46.4833,24.7,60.82,95,100,2.55,RO,2021-06-01 15:37:43,overcast clouds
287,Koumac,-20.5667,164.2833,66.94,70,10,4.43,NC,2021-06-01 15:37:43,clear sky
288,George,-33.963,22.4617,58.55,88,75,6.91,ZA,2021-06-01 15:37:44,broken clouds
289,Port Hedland,-20.3167,118.5667,64.45,55,95,8.05,AU,2021-06-01 15:37:44,overcast clouds
290,Chegutu,-18.1302,30.1407,66.88,40,21,3.36,ZW,2021-06-01 15:37:44,few clouds
291,Maningrida,-12.0667,134.2667,72.57,90,97,10.31,AU,2021-06-01 15:37:45,overcast clouds
292,At-Bashi,41.1702,75.8106,56.59,66,93,2.04,KG,2021-06-01 15:37:45,overcast clouds
293,Cuamba,-14.8031,36.5372,68.58,79,60,2.84,MZ,2021-06-01 15:37:45,broken clouds
294,Dunedin,-45.8742,170.5036,51.8,53,89,1.01,NZ,2021-06-01 15:37:46,overcast clouds
295,Quelimane,-17.8786,36.8883,71.8,80,69,6.33,MZ,2021-06-01 15:30:09,broken clouds
296,Alta Floresta,-9.8756,-56.0861,91.22,49,20,9.22,BR,2021-06-01 15:29:05,few clouds
297,Pahrump,36.2083,-115.9839,89.31,11,43,3.8,US,2021-06-01 15:37:13,scattered clouds
298,Sawakin,19.1059,37.3321,94.91,41,0,11.56,SD,2021-06-01 15:37:46,clear sky
299,Oranjemund,-28.55,16.4333,60.48,62,0,15.73,NA,2021-06-01 15:37:47,clear sky
300,Farafangana,-22.8167,47.8333,71.17,89,100,7.36,MG,2021-06-01 15:37:47,moderate rain
301,Tuktoyaktuk,69.4541,-133.0374,30.2,93,90,8.05,CA,2021-06-01 15:37:47,overcast clouds
302,Adrar,20.5022,-10.0711,103.91,15,47,4.29,MR,2021-06-01 15:37:48,scattered clouds
303,Gizo,-8.103,156.8419,81.18,83,91,12.93,SB,2021-06-01 15:37:48,moderate rain
304,Tromso,69.6496,18.957,68.65,67,20,10.36,NO,2021-06-01 15:37:48,few clouds
305,Nuevo Progreso,23.1667,-97.95,85.59,71,100,5.99,MX,2021-06-01 15:37:48,overcast clouds
306,Consolacion Del Sur,22.5047,-83.5136,87.46,50,10,14.18,CU,2021-06-01 15:37:49,clear sky
307,Timra,62.487,17.3257,65.91,39,90,10.36,SE,2021-06-01 15:37:49,overcast clouds
308,Namatanai,-3.6667,152.4333,77.31,91,100,5.82,PG,2021-06-01 15:37:49,light rain
309,Esperance,-33.8667,121.9,53.44,74,94,8.16,AU,2021-06-01 15:37:50,overcast clouds
310,Afyonkarahisar,38.75,30.6667,59.56,53,48,14.05,TR,2021-06-01 15:37:50,light rain
311,Fukue,32.6881,128.8419,70.23,75,94,3.33,JP,2021-06-01 15:37:50,overcast clouds
312,Barranca,-10.75,-77.7667,67.35,77,100,8.55,PE,2021-06-01 15:37:51,overcast clouds
313,Kibre Mengist,5.8833,38.9833,60.26,95,94,3.53,ET,2021-06-01 15:37:51,light rain
314,Dauphin,51.1494,-100.0502,73.54,31,20,17.27,CA,2021-06-01 15:33:39,few clouds
315,Kenai,60.5544,-151.2583,49.03,93,90,3.44,US,2021-06-01 15:29:13,light rain
316,Madawaska,47.3561,-68.3288,62.65,77,1,3.44,US,2021-06-01 15:37:52,clear sky
317,Sobolevo,54.4299,31.8996,59.61,65,9,4.54,RU,2021-06-01 15:37:52,clear sky
318,Boone,39.0334,-92.3335,68.52,85,100,5.48,US,2021-06-01 15:37:01,overcast clouds
319,Iroquois Falls,48.7669,-80.6831,66.34,39,9,7.76,CA,2021-06-01 15:37:52,clear sky
320,Talaya,61.3833,152.75,36.52,88,90,4.45,RU,2021-06-01 15:37:53,overcast clouds
321,Port Lincoln,-34.7333,135.8667,61.18,71,99,2.95,AU,2021-06-01 15:37:53,overcast clouds
322,Dubrovnik,42.6481,18.0922,71.22,52,20,13.69,HR,2021-06-01 15:37:53,few clouds
323,Quang Ngai,15.1167,108.8,78.75,82,98,4.97,VN,2021-06-01 15:37:54,overcast clouds
324,Trincomalee,8.5711,81.2335,82.85,75,14,16.4,LK,2021-06-01 15:37:54,few clouds
325,San Gavino Monreale,39.5514,8.7917,73.49,40,89,13.67,IT,2021-06-01 15:37:54,overcast clouds
326,Husavik,66.0449,-17.3389,46.31,86,100,2.01,IS,2021-06-01 15:37:54,overcast clouds
327,Bandarbeyla,9.4942,50.8122,80.19,80,88,28.41,SO,2021-06-01 15:37:55,overcast clouds
328,Bauchi,10.5,10.0,89.33,36,92,8.03,NG,2021-06-01 15:37:55,light rain
329,Beloha,-25.1667,45.05,66.34,79,99,14.14,MG,2021-06-01 15:37:55,overcast clouds
330,Karonga,-9.9333,33.9333,73.51,78,53,6.46,MW,2021-06-01 15:37:56,light rain
331,Laguna,38.421,-121.4238,89.44,51,1,4.0,US,2021-06-01 15:37:41,clear sky
332,Santa Cruz,-17.8,-63.1667,76.46,60,75,5.75,BO,2021-06-01 15:37:06,broken clouds
333,Panguipulli,-39.6333,-72.3333,56.91,95,100,4.12,CL,2021-06-01 15:37:56,overcast clouds
334,Plauen,50.5,12.1333,73.27,53,99,3.0,DE,2021-06-01 15:37:57,overcast clouds
335,Parnarama,-5.6817,-43.0933,94.68,36,25,4.52,BR,2021-06-01 15:37:57,scattered clouds
336,Sakaiminato,35.55,133.2333,62.58,94,75,3.44,JP,2021-06-01 15:37:57,broken clouds
337,Mogok,22.9167,96.5,68.99,81,13,1.39,MM,2021-06-01 15:37:58,few clouds
338,Launceston,-41.45,147.1667,50.14,94,75,3.42,AU,2021-06-01 15:37:58,broken clouds
339,Mehamn,71.0357,27.8492,46.58,98,100,20.45,NO,2021-06-01 15:28:27,overcast clouds
340,Yulara,-25.2406,130.9889,58.84,63,40,9.22,AU,2021-06-01 15:37:58,scattered clouds
341,Lavrentiya,65.5833,-171.0,29.93,76,8,13.91,RU,2021-06-01 15:37:59,clear sky
342,Bilma,18.6853,12.9164,108.3,5,96,15.59,NE,2021-06-01 15:31:12,overcast clouds
343,Constitucion,-35.3333,-72.4167,58.33,98,100,5.84,CL,2021-06-01 15:37:59,overcast clouds
344,Raudeberg,61.9875,5.1352,73.0,63,11,4.36,NO,2021-06-01 15:37:59,few clouds
345,Emerald,-23.5333,148.1667,60.94,88,40,3.44,AU,2021-06-01 15:38:00,scattered clouds
346,Kloulklubed,7.0419,134.2556,77.5,79,70,10.04,PW,2021-06-01 15:38:00,broken clouds
347,Starogard Gdanski,53.964,18.5264,58.77,100,100,6.89,PL,2021-06-01 15:38:00,overcast clouds
348,Buraydah,26.326,43.975,108.05,9,0,10.83,SA,2021-06-01 15:38:01,clear sky
349,Zhigansk,66.7697,123.3711,54.21,50,100,4.27,RU,2021-06-01 15:38:01,overcast clouds
350,Olga,43.7444,135.2892,50.63,100,100,5.77,RU,2021-06-01 15:38:01,overcast clouds
351,Kendari,-3.945,122.4989,75.51,92,100,1.16,ID,2021-06-01 15:38:02,overcast clouds
352,Castro,-24.7911,-50.0119,67.48,57,2,3.96,BR,2021-06-01 15:38:02,clear sky
353,Lac-Megantic,45.5834,-70.8823,61.52,56,100,11.1,CA,2021-06-01 15:36:51,overcast clouds
354,Sisimiut,66.9395,-53.6735,39.43,71,27,6.64,GL,2021-06-01 15:30:57,scattered clouds
355,Ballitoville,-29.539,31.2144,60.24,77,75,9.82,ZA,2021-06-01 15:38:02,broken clouds
356,Casambalangan,18.3765,122.1274,80.37,87,94,6.67,PH,2021-06-01 15:38:03,overcast clouds
357,Verkhnevilyuysk,63.4453,120.3167,51.19,87,90,3.96,RU,2021-06-01 15:38:03,overcast clouds
358,Peterhead,57.5058,-1.7981,67.44,88,7,13.51,GB,2021-06-01 15:38:03,clear sky
359,Bara,10.3744,10.7288,89.38,29,71,15.12,NG,2021-06-01 15:38:04,broken clouds
360,Chinhoyi,-17.3667,30.2,66.34,51,6,5.5,ZW,2021-06-01 15:38:04,clear sky
361,Cap-Aux-Meules,47.3821,-61.8597,50.05,100,90,19.57,CA,2021-06-01 15:38:04,overcast clouds
362,Belyy Yar,53.6039,91.3903,57.09,44,0,4.76,RU,2021-06-01 15:30:56,clear sky
363,Ancud,-41.8697,-73.8203,51.42,77,30,6.22,CL,2021-06-01 15:28:29,scattered clouds
364,Ust-Nera,64.5667,143.2,45.3,72,100,5.73,RU,2021-06-01 15:38:05,overcast clouds
365,Kovernino,57.1253,43.8142,57.52,61,99,3.33,RU,2021-06-01 15:38:06,overcast clouds
366,Puerto Leguizamo,-0.1934,-74.7819,82.87,67,62,1.74,CO,2021-06-01 15:28:08,broken clouds
367,Chokwe,-24.5333,32.9833,74.82,54,78,5.61,MZ,2021-06-01 15:38:06,broken clouds
368,Portland,45.5234,-122.6762,73.89,62,20,1.01,US,2021-06-01 15:36:02,few clouds
369,Alihe,50.5667,123.7167,47.41,95,100,3.2,CN,2021-06-01 15:31:23,overcast clouds
370,Luderitz,-26.6481,15.1594,71.13,36,0,18.52,NA,2021-06-01 15:28:39,clear sky
371,Tukrah,32.5341,20.5791,72.37,61,36,11.48,LY,2021-06-01 15:38:07,scattered clouds
372,Merauke,-8.4667,140.3333,76.03,87,100,13.67,ID,2021-06-01 15:38:07,overcast clouds
373,Berlevag,70.8578,29.0864,46.4,81,75,18.41,NO,2021-06-01 15:38:07,broken clouds
374,Itoman,26.1247,127.6694,77.02,94,75,6.91,JP,2021-06-01 15:28:21,broken clouds
375,Pechora,65.1472,57.2244,41.25,52,100,13.51,RU,2021-06-01 15:38:08,overcast clouds
376,Vallenar,-28.5708,-70.7581,84.56,9,10,3.15,CL,2021-06-01 15:38:08,clear sky
377,Pontes E Lacerda,-15.2261,-59.3353,91.71,37,38,1.68,BR,2021-06-01 15:38:08,scattered clouds
378,Pisco,-13.7,-76.2167,66.25,72,90,5.75,PE,2021-06-01 15:38:09,overcast clouds
379,Senneterre,48.3835,-77.2328,62.82,59,46,9.55,CA,2021-06-01 15:38:09,scattered clouds
380,Kasongo-Lunda,-6.4667,16.8167,84.33,37,85,1.74,CD,2021-06-01 15:38:09,overcast clouds
381,Moree,-29.4667,149.85,53.62,76,99,12.66,AU,2021-06-01 15:38:09,overcast clouds
382,Acheng,45.5454,126.977,49.93,53,55,5.37,CN,2021-06-01 15:38:10,broken clouds
383,Yerofey Pavlovich,53.9667,121.9667,48.65,94,100,5.03,RU,2021-06-01 15:38:10,overcast clouds
384,Rincon,32.296,-81.2354,81.84,70,75,1.01,US,2021-06-01 15:38:10,broken clouds
385,Kanelovskaya,46.5908,39.19,71.51,79,39,1.14,RU,2021-06-01 15:38:11,scattered clouds
386,Daru,-9.0763,143.2092,77.63,81,99,15.23,PG,2021-06-01 15:38:11,overcast clouds
387,College,64.8569,-147.8028,55.72,87,90,3.44,US,2021-06-01 15:38:11,light rain
388,Brigantine,39.4101,-74.3646,76.26,70,1,7.7,US,2021-06-01 15:28:43,clear sky
389,Sambava,-14.2667,50.1667,75.2,76,2,12.17,MG,2021-06-01 15:38:12,clear sky
390,Christchurch,-43.5333,172.6333,42.48,95,90,2.3,NZ,2021-06-01 15:28:04,fog
391,Leningradskiy,69.3833,178.4167,27.14,90,66,13.04,RU,2021-06-01 15:38:12,broken clouds
392,Waipawa,-41.4122,175.5153,45.93,90,28,3.24,NZ,2021-06-01 15:31:06,scattered clouds
393,Reconquista,-29.15,-59.65,72.0,27,0,11.45,AR,2021-06-01 15:38:13,clear sky
394,Tougan,13.0667,-3.0667,105.08,16,27,1.83,BF,2021-06-01 15:38:13,scattered clouds
395,Saint-Leu,-21.15,55.2833,74.26,93,11,12.1,RE,2021-06-01 15:38:13,few clouds
396,Nelson Bay,-32.7167,152.15,53.1,95,91,6.04,AU,2021-06-01 15:38:13,overcast clouds
397,Guayaramerin,-10.8368,-65.3614,75.25,83,90,2.51,BO,2021-06-01 15:38:14,overcast clouds
398,Selestat,48.2598,7.4565,80.26,31,0,5.68,FR,2021-06-01 15:38:14,clear sky
399,Solnechnyy,50.7214,136.6319,51.13,73,84,5.32,RU,2021-06-01 15:38:14,broken clouds
400,Kelo,9.3086,15.8066,88.97,40,100,2.68,TD,2021-06-01 15:38:15,overcast clouds
401,Lagoa,39.05,-27.9833,59.4,55,66,14.63,PT,2021-06-01 15:38:15,broken clouds
402,Iquique,-20.2208,-70.1431,60.84,65,34,4.7,CL,2021-06-01 15:29:08,scattered clouds
403,Robertsport,6.7533,-11.3686,81.93,77,96,8.97,LR,2021-06-01 15:38:16,overcast clouds
404,Cap Malheureux,-19.9842,57.6142,70.29,78,89,15.86,MU,2021-06-01 15:31:47,moderate rain
405,Zielona Gora,51.9355,15.5064,73.96,33,97,9.75,PL,2021-06-01 15:38:16,overcast clouds
406,Ostrovnoy,68.0531,39.5131,42.69,71,97,12.46,RU,2021-06-01 15:30:58,overcast clouds
407,Ridgecrest,35.6225,-117.6709,88.68,18,1,4.61,US,2021-06-01 15:38:16,clear sky
408,Pochutla,15.7432,-96.4661,89.82,51,100,5.21,MX,2021-06-01 15:38:17,overcast clouds
409,Beringovskiy,63.05,179.3167,29.41,89,60,9.37,RU,2021-06-01 15:38:17,broken clouds
410,Komsomolskiy,40.4272,71.7189,90.32,20,43,4.61,UZ,2021-06-01 15:29:47,scattered clouds
411,Big Spring,32.2504,-101.4787,70.11,73,40,1.99,US,2021-06-01 15:35:25,scattered clouds
412,Labuhan,-6.8844,112.2051,79.38,85,17,5.7,ID,2021-06-01 15:38:17,few clouds
413,Ketchikan,55.3422,-131.6461,52.27,100,90,5.75,US,2021-06-01 15:31:46,moderate rain
414,Sterling,39.0062,-77.4286,75.79,61,1,1.01,US,2021-06-01 15:29:26,clear sky
415,Vila Franca Do Campo,37.7167,-25.4333,64.81,61,12,15.9,PT,2021-06-01 15:38:18,few clouds
416,Taoudenni,22.6783,-3.9836,114.39,6,38,4.0,ML,2021-06-01 15:31:16,scattered clouds
417,Plettenberg Bay,-34.0527,23.3716,57.94,78,10,8.48,ZA,2021-06-01 15:38:18,clear sky
418,Verkhoyansk,67.5447,133.385,52.2,68,12,3.65,RU,2021-06-01 15:38:19,few clouds
419,Jacareacanga,-6.2222,-57.7528,93.78,31,4,4.43,BR,2021-06-01 15:38:19,clear sky
420,Cayenne,4.9333,-52.3333,84.24,85,75,1.99,GF,2021-06-01 15:38:19,broken clouds
421,Katra,32.9833,74.95,72.03,67,78,11.88,IN,2021-06-01 15:38:20,broken clouds
422,Cacu,-18.5567,-51.1308,87.13,33,90,4.83,BR,2021-06-01 15:38:20,overcast clouds
423,Vostok,46.4856,135.8833,49.62,94,100,3.51,RU,2021-06-01 15:29:43,light rain
424,Tessalit,20.1986,1.0114,109.56,4,2,8.32,ML,2021-06-01 15:38:20,clear sky
425,Sokode,8.9833,1.1333,91.11,55,75,0.0,TG,2021-06-01 15:38:21,light rain
426,Tandil,-37.3217,-59.1332,65.3,62,99,7.0,AR,2021-06-01 15:38:21,moderate rain
427,Riyadh,24.6877,46.7219,105.94,9,0,11.5,SA,2021-06-01 15:37:12,clear sky
428,Soweto,-26.2678,27.8585,54.05,36,2,8.23,ZA,2021-06-01 15:34:45,clear sky
429,Nadym,65.5333,72.5167,54.45,46,72,19.66,RU,2021-06-01 15:38:22,broken clouds
430,Kieta,-6.2167,155.6333,78.75,89,85,5.21,PG,2021-06-01 15:30:38,moderate rain
431,Kupang,-10.1667,123.5833,77.14,87,41,8.77,ID,2021-06-01 15:38:22,scattered clouds
432,Along,28.1667,94.7667,71.56,98,92,0.85,IN,2021-06-01 15:38:22,overcast clouds
433,Yalutorovsk,56.6536,66.3006,53.78,48,5,2.06,RU,2021-06-01 15:38:23,clear sky
434,Mandiana,10.6333,-8.6833,90.57,44,97,8.25,GN,2021-06-01 15:38:23,overcast clouds
435,Lahaina,20.8783,-156.6825,72.64,80,20,4.68,US,2021-06-01 15:38:23,few clouds
436,Batagay-Alyta,67.8006,130.4114,48.38,62,36,2.51,RU,2021-06-01 15:30:49,scattered clouds
437,Morondava,-20.2833,44.2833,74.98,74,97,11.68,MG,2021-06-01 15:38:24,overcast clouds
438,Ilulissat,69.2167,-51.1,33.82,80,20,8.05,GL,2021-06-01 15:38:24,few clouds
439,Tafresh,34.692,50.013,77.59,12,0,7.72,IR,2021-06-01 15:38:25,clear sky
440,Bogorodskoye,56.55,37.8833,55.42,60,84,8.77,RU,2021-06-01 15:38:25,broken clouds
441,Bontang,0.1333,117.5,78.01,86,87,5.66,ID,2021-06-01 15:38:25,overcast clouds
442,Guerrero Negro,27.9769,-114.0611,66.76,61,2,7.92,MX,2021-06-01 15:38:26,clear sky
443,Dalvik,65.9702,-18.5286,46.33,70,100,1.61,IS,2021-06-01 15:38:26,overcast clouds
444,Tautira,-17.7333,-149.15,73.42,62,70,12.37,PF,2021-06-01 15:38:26,broken clouds
445,Urumqi,43.801,87.6005,81.55,17,0,5.95,CN,2021-06-01 15:29:28,clear sky
446,San Patricio,28.017,-97.5169,76.84,65,95,11.39,US,2021-06-01 15:38:27,overcast clouds
447,Broome,42.2506,-75.833,69.46,50,1,1.01,US,2021-06-01 15:30:36,clear sky
448,Virginia Beach,36.8529,-75.978,76.08,60,40,0.0,US,2021-06-01 15:36:49,scattered clouds
449,Kokoda,-8.8785,147.7407,73.99,95,100,0.78,PG,2021-06-01 15:38:27,overcast clouds
450,Umm Lajj,25.0213,37.2685,90.28,51,37,8.14,SA,2021-06-01 15:38:27,scattered clouds
451,Mandalgovi,45.7625,106.2708,39.94,42,1,7.27,MN,2021-06-01 15:38:28,clear sky
452,Pyryatyn,50.2445,32.5107,52.5,74,100,15.88,UA,2021-06-01 15:38:28,overcast clouds
453,Road Town,18.4167,-64.6167,85.19,70,40,16.11,VG,2021-06-01 15:38:28,scattered clouds
454,Belaya Gora,68.5333,146.4167,54.57,46,14,7.05,RU,2021-06-01 15:38:29,few clouds
455,Nabire,-3.3667,135.4833,77.7,91,100,2.57,ID,2021-06-01 15:38:29,overcast clouds
456,Sampit,-2.5333,112.95,74.88,96,91,1.81,ID,2021-06-01 15:30:50,overcast clouds
457,Helong,42.5397,128.9972,50.83,95,5,3.09,CN,2021-06-01 15:29:56,clear sky
458,Oneonta,42.4529,-75.0638,71.11,57,100,5.37,US,2021-06-01 15:38:29,overcast clouds
459,Lambarene,-0.7001,10.2406,82.42,78,90,5.84,GA,2021-06-01 15:38:30,light rain
460,Mitu,1.1983,-70.1733,82.62,77,90,3.24,CO,2021-06-01 15:38:24,light rain
461,Paamiut,61.994,-49.6678,36.45,85,89,11.88,GL,2021-06-01 15:29:14,overcast clouds
462,Simplicio Mendes,-7.8539,-41.9103,96.44,24,7,7.63,BR,2021-06-01 15:38:30,clear sky
463,Oistins,13.0667,-59.5333,86.09,51,40,17.27,BB,2021-06-01 15:38:31,scattered clouds
464,Vestmannaeyjar,63.4427,-20.2734,49.19,71,40,16.11,IS,2021-06-01 15:31:48,scattered clouds
465,Huarmey,-10.0681,-78.1522,69.57,77,100,9.01,PE,2021-06-01 15:38:31,overcast clouds
466,Santiago,-33.4569,-70.6483,67.17,49,90,2.3,CL,2021-06-01 15:31:07,overcast clouds
467,Lodja,-3.4833,23.4333,84.02,44,100,0.74,CD,2021-06-01 15:38:31,overcast clouds
468,Inuvik,68.3499,-133.7218,31.21,74,90,10.36,CA,2021-06-01 15:38:32,overcast clouds
469,Mokolo,10.7398,13.8019,90.54,66,100,15.46,CM,2021-06-01 15:38:32,light rain
470,Cornwall,45.0181,-74.7281,71.4,42,20,12.26,CA,2021-06-01 15:36:01,few clouds
471,Egvekinot,66.3167,-179.1667,24.73,80,96,6.91,RU,2021-06-01 15:38:32,overcast clouds
472,Tamiahua,21.2667,-97.45,86.63,63,98,11.05,MX,2021-06-01 15:38:33,overcast clouds
473,Flinders,-34.5833,150.8552,54.68,75,99,1.99,AU,2021-06-01 15:38:33,overcast clouds
474,Qaqortoq,60.7167,-46.0333,57.7,56,25,8.9,GL,2021-06-01 15:38:33,scattered clouds
475,Kandrian,-6.2167,149.55,74.86,96,100,8.48,PG,2021-06-01 15:31:36,heavy intensity rain
476,Dahanu,19.9667,72.7333,85.06,78,32,9.31,IN,2021-06-01 15:38:34,moderate rain
477,Kargat,55.1956,80.2811,64.35,76,100,11.63,RU,2021-06-01 15:38:34,overcast clouds
478,Zyryanka,65.75,150.85,49.08,46,23,4.94,RU,2021-06-01 15:30:51,few clouds
479,Terrace Bay,48.7834,-87.1,46.9,76,55,6.78,CA,2021-06-01 15:38:35,broken clouds
480,Camabatela,-8.1881,15.375,78.21,33,33,2.84,AO,2021-06-01 15:38:35,scattered clouds
481,Kaeo,-35.1,173.7833,46.33,93,7,4.03,NZ,2021-06-01 15:29:06,clear sky
482,Duverge,18.3784,-71.5247,86.05,47,99,9.22,DO,2021-06-01 15:38:35,overcast clouds
483,Taiyuan,37.8694,112.5603,67.86,64,80,3.2,CN,2021-06-01 15:38:36,haze
484,Sistranda,63.7256,8.834,73.36,68,14,5.59,NO,2021-06-01 15:38:36,few clouds
485,Sabha,27.0377,14.4283,101.75,11,25,11.48,LY,2021-06-01 15:38:36,scattered clouds
486,Honningsvag,70.9821,25.9704,46.15,81,75,18.41,NO,2021-06-01 15:38:36,light intensity drizzle
487,Hutchinson,38.0608,-97.9298,67.32,80,90,1.01,US,2021-06-01 15:34:40,overcast clouds
488,Shanghai,31.2222,121.4581,73.92,80,0,1.01,CN,2021-06-01 15:33:49,light rain
489,Karratha,-20.7377,116.8463,72.18,31,89,13.91,AU,2021-06-01 15:38:37,overcast clouds
490,Itaituba,-4.2761,-55.9836,95.16,52,20,5.75,BR,2021-06-01 15:38:37,few clouds
491,Saint-Joseph,-21.3667,55.6167,73.78,76,42,11.61,RE,2021-06-01 15:31:33,scattered clouds
492,Yumen,40.2833,97.2,69.35,10,100,12.12,CN,2021-06-01 15:29:22,overcast clouds
493,La Grande,45.3246,-118.0877,77.52,45,48,2.17,US,2021-06-01 15:38:38,scattered clouds
494,Yacuiba,-22.038,-63.6797,75.97,50,3,9.22,BO,2021-06-01 15:38:38,clear sky
495,Cuiaba,-15.5961,-56.0967,82.33,69,20,4.61,BR,2021-06-01 15:38:38,few clouds
496,Jiazi,22.8779,116.067,78.93,89,100,1.74,CN,2021-06-01 15:38:39,overcast clouds
497,Mantua,45.1667,10.7833,80.1,40,2,5.01,IT,2021-06-01 15:38:39,clear sky
498,Kavaratti,10.5669,72.642,83.8,76,100,20.45,IN,2021-06-01 15:38:39,overcast clouds
499,Eyl,7.9803,49.8164,80.83,73,35,21.54,SO,2021-06-01 15:31:25,scattered clouds
500,Kinsale,51.7075,-8.5306,67.37,55,20,9.46,IE,2021-06-01 15:38:40,few clouds
501,Ayagoz,47.9714,80.4392,65.62,64,100,6.93,KZ,2021-06-01 15:38:40,overcast clouds
502,Leh,34.1667,77.5833,46.56,67,100,4.09,IN,2021-06-01 15:28:41,overcast clouds
503,Makat,47.6469,53.3463,86.05,33,92,3.18,KZ,2021-06-01 15:38:41,overcast clouds
504,Granger,41.7481,-86.1257,72.32,48,1,3.2,US,2021-06-01 15:34:59,clear sky
505,Srednekolymsk,67.45,153.6833,54.84,40,88,2.55,RU,2021-06-01 15:38:41,overcast clouds
506,Itamarandiba,-17.8572,-42.8589,78.01,53,36,3.74,BR,2021-06-01 15:38:41,scattered clouds
507,Ayr,55.4627,-4.6339,73.29,52,20,9.22,GB,2021-06-01 15:38:42,few clouds
508,Rezina,47.7492,28.9622,55.02,73,100,14.56,MD,2021-06-01 15:38:42,overcast clouds
509,Castelo Do Piaui,-5.3222,-41.5525,90.91,38,57,1.86,BR,2021-06-01 15:38:42,broken clouds
510,Beira,-19.8436,34.8389,75.29,69,40,5.75,MZ,2021-06-01 15:38:43,scattered clouds
511,Las Vegas,36.175,-115.1372,91.81,13,1,3.44,US,2021-06-01 15:38:43,clear sky
512,Quatre Cocos,-20.2078,57.7625,69.91,81,97,11.97,MU,2021-06-01 15:38:43,moderate rain
513,La Orilla,17.9833,-102.2333,86.59,60,86,2.8,MX,2021-06-01 15:38:44,overcast clouds
514,Inhambane,-23.865,35.3833,75.18,69,40,6.91,MZ,2021-06-01 15:38:44,scattered clouds
515,Lhokseumawe,5.1801,97.1507,79.72,84,100,3.4,ID,2021-06-01 15:36:44,overcast clouds
516,Karatuzskoye,53.6072,92.8667,50.16,60,0,5.32,RU,2021-06-01 15:38:44,clear sky
517,Lodwar,3.1191,35.5973,90.79,30,76,15.88,KE,2021-06-01 15:38:45,broken clouds
518,Popondetta,-8.7537,148.2534,75.58,86,100,2.15,PG,2021-06-01 15:38:45,overcast clouds
519,Agua Prieta,31.3,-109.5667,81.34,18,73,2.46,MX,2021-06-01 15:36:45,broken clouds
520,Lebaksiu,-7.0496,109.1441,72.61,93,22,2.95,ID,2021-06-01 15:38:45,few clouds
521,The Valley,18.217,-63.0578,85.86,65,40,16.11,AI,2021-06-01 15:38:46,scattered clouds
522,Kingaroy,-26.5333,151.8333,44.64,100,81,0.0,AU,2021-06-01 15:38:46,broken clouds
